p_id,title,category,brand,attributes
11646607.0,سرویس غذاخوری 26 پارچه گلدن اپال مدل سفید خط طلا,سرویس غذاخوری,متفرقه,"تعداد کلی ظروف 26 پارچه, اقلام سرویس ظرف سالاد, اقلام سرویس سالادخوری, اقلام سرویس بشقاب غذاخوری, اقلام سرویس بشقاب خورش خوری, اقلام سرویس پیش دستی, جنس ظروف اوپال, جنس بشقاب خورش خوری اوپال, جنس بشقاب غذاخوری اوپال, جنس دیس اوپال, جنس ظرف سالاد اوپال, جنس سالادخوری اوپال, جنس پیش دستی اوپال, جنس پیاله اوپال, کشور مبدا ایران, شکل محصول دایره, تعداد کاسه یک دست شش عدد, تعداد بشقاب خورش خوری یک دست شش عدد, تعداد دیس یک عدد, تعداد ظرف سالاد یک عدد, تعداد پیش دستی یک دست شش عدد, تعداد پیاله 6 عدد, مناسب برای 6 نفره, سازگار با کشو, سازگار با سینک, سازگار با میز, سازگار با کابینت و کشو, نحوه شست وشو شست وشو در ماشین ظرفشویی"
7959398.0,آینه سرویس بهداشتی الف مدل نیم قد,آینه سرویس بهداشتی,الف,"جنس چوب, فرم طراحی مستطیلی"
10134957.0,چسب ملیله کاغذی خانه کوئیلینگ کد KQ-30-2 حجم 30 میلی لیتر بسته 2 عددی,ملیله کاغذی,متفرقه,
9864095.0,کاور مبلمان یک نفره مدل استرچ کشی ,کاور لوازم خانگی,متفرقه,
14312014.0,مارشمالو جار هپی کندی زاب - 130 گرم,پاستیل,هپی کندی زاب,
4390181.0,تستر مقاومت وینتکت مدل WT3121,مولتی متر,وینتکت,منبع تغذیه باتری قابل شارژ
8582515.0,محافظ صفحه نمایش نئو مدل LION مناسب برای گوشی موبایل شیائومی Redmi Note 11 5G,محافظ صفحه نمایش گوشی,لاین,"نوع محافظ صفحه نمایش, دارای محافظ برای قسمت جلو صفحه نمایش"
2949988.0,اسباب بازی شانسی ال او ال سورپرایز کد L02,اسباب بازی شانسی,متفرقه,
11681449.0,قاب بغل موتورسیکلت مدل TBO-CGL مناسب برای سی جی ال مجموعه 2 عددی,سایر لوازم جانبی موتور سیکلت,متفرقه,"جنس ای بی اس, جنس پلاستیک فشرده"
5874073.0,کتاب Concepts of Genetics اثر جمعی از نویسندگان انتشارات مؤلفین طلایی,کتاب چاپی غیر فارسی,انتشارات مؤلفین طلایی,
13518137.0,گوشی موبایل شیائومی مدل Poco C65 دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت,گوشی موبایل,شیائومی,"نسخه سیستم عامل android 13, اندازه 6 74, تعداد دوربین های پشت گوشی 2 ماژول دوربین, اقلام همراه دفترچه راهنما, اقلام همراه شارژر, اقلام همراه کابل usb type c, نوع سیم کارت سایز نانو 8 8 12 3 میلی متر, فناوری صفحه نمایش ips, حافظه داخلی 256 گیگابایت, مقدار ram 8 گیگابایت, سیستم عامل android"
